Country,Life Expectancy,Adult Mortality,Infant Deaths,Population,Life Expectancy at Birth,Infant Mortality Rate,Medical Doctors,Under-5 Mortality Rate,GDP (billions of US$),GDP per Capita (US$),Current Health Expenditure (% of GDP),Death by Meningitis,Death by Neoplasms,'Death by Fire, Heat, and Hot Substances',Death by Malaria,Death by Drowning,Death by Interpersonal Violence,Death by HIV/AIDS,Death by Drug Use,Death by Tuberculosis,Death by Road Injuries,Death by Maternal Disorders,Death by Lower Respiratory Infections,Death by Neonatal Disorders,Death by Alcohol Use,Death by Forces of Nature,Death by Diarrheal Diseases
Italy,82.7,56,1,673582,82.21,2.95 [2.9-3.01],38.48,3.46 [3.4-3.53],1836.824,37175.638,8.86,197,186938,498,0,376,500,667,483,415,5228,23,11663,792,349,42,1117
Jamaica,76.2,125,1,2871934,75.85,13.43 [8.86-20.53],4.15,15.62 [10.33-24.25],14.154,9346.692,5.62,21,4045,19,0,13,369,454,5,10,173,31,448,463,8,0,46
Japan,83.7,55,2,127141,83.62,2.01 [1.97-2.05],,2.75 [2.7-2.8],4444.931,40959.265,10.75,401,420328,1589,0,7853,718,197,460,3563,6898,50,106524,581,677,41,3352
Jordan,74.1,112,4,915932,77.82,15.12 [12.41-18.37],28.08,17.61 [14.42-21.56],38.642,9464.682,7.46,72,4234,162,0,111,297,27,12,24,1011,69,883,1549,12,1,61
Kazakhstan,72,198,4,17544126,71.91,10.54 [10.3-10.78],,11.82 [11.55-12.09],184.388,23057.072,3.04,157,20092,494,0,985,1741,290,585,895,3197,53,4235,2093,1599,5,68
Kenya,63.4,249,54,47236259,64.17,35.32 [30.6-41.03],,49.59 [41.62-59.76],70.369,4072.47,5.22,4460,19977,783,4772,637,4441,61486,77,17714,4319,3828,21841,20007,298,82,21907
Kiribati,66.3,198,0,11247,58.2,44.58 [31.06-62.63],,57.4 [38.11-85.32],0.171,1880.35,7.99,12,117,1,0,6,5,2,1,74,21,8,35,50,1,0,47
Kuwait,74.7,81,0,0,81.13,7.46 [7.22-7.69],26.46,8.71 [8.43-8.98],114.606,43308.023,4.21,12,1255,31,0,21,34,3,19,22,523,3,577,249,8,0,6
Latvia,74.6,153,0,1977527,74.8,4.22 [3.88-4.57],31.66,4.97 [4.58-5.38],27.266,24871.739,5.65,10,5842,127,0,142,139,144,42,62,207,7,372,37,294,0,5
Lebanon,74.9,98,1,5851479,75.98,7.08 [3.92-12.36],21.03,8.28 [4.59-14.36],50.066,15105.874,7.41,36,7016,90,0,59,346,61,103,43,445,20,894,538,14,5,63
Lesotho,53.7,484,4,2174645,47.67,71.88 [58.69-88.12],,94.06 [74.92-118.4],2.207,3210.948,9,180,2177,126,0,112,723,13238,7,2991,933,182,2058,1269,34,0,1611
Liberia,61.4,259,8,4499621,61.17,66.12 [58.26-74.99],0.38,90.96 [78.6-104.9],3.092,1359.019,10.64,517,1853,82,4221,98,115,2221,6,1116,482,792,2146,2542,29,0,3066
Lithuania,73.6,165,0,29491,74.38,4.02 [3.74-4.32],42.99,4.94 [4.6-5.3],41.44,28842.243,6.49,19,8409,74,0,213,186,69,124,199,325,3,580,43,336,0,14
Luxembourg,82,63,0,56964,82.31,2.37 [2.03-2.75],29.22,2.9 [2.48-3.37],60.078,109162.471,5.28,1,1207,3,0,3,6,3,16,2,35,0,123,7,25,0,15
Madagascar,65.5,22,28,2423488,64.19,40.66 [35.76-46.07],,57.87 [49.37-67.46],11.323,1546.837,4.97,2190,9508,398,5654,469,490,2354,39,12384,2749,2475,14415,13176,140,121,20976
Malawi,58.3,365,26,1757367,63.04,37.31 [31.49-43.49],,53.76 [43.6-64.98],9.014,1332.538,9.33,2487,9005,328,6943,391,348,20660,33,8006,1967,1169,10070,11269,112,283,8215
Malaysia,75,123,4,3723155,74.95,6.89 [6.76-7.03],15.36,8.05 [7.9-8.21],301.36,24074.09,3.82,282,25722,276,5,752,619,2516,108,1871,6840,249,19232,1651,157,25,1169
Maldives,78.5,61,0,49163,78.41,8.7 [8.12-9.31],28.86,10.15 [9.48-10.85],4.098,21931.337,8.69,2,173,4,0,18,10,1,2,13,19,7,30,92,1,0,11
Mali,58.2,266,52,1746795,60.89,66.95 [60.59-73.83],,108.6 [94.85-123.8],13.106,2032.666,4.11,5773,8044,657,27890,891,1673,5969,14,5795,2364,3125,14117,29781,86,5,13232
